CUSTOMER_NUMBER,CUSTOMER_NAME,QTY_SHIPPED,ORGID,GOLIVE_DATE,CANCEL_DATE,CANCEL_TYPE,CITY,STATE,ITEM_DESCRIPTION,NOTES,REPORT_PERIOD,REPORT_SEQ,VENDOR_NAME,ERROR_CODE,SALESORDERID,AMOUNT
1275,"Northside Hospital, Inc dba Northside Family Practice",5,867470ea13c6b47,2017-11-03 00:00:00,,,"Woodstock,Holly Springs",GA,IMO,,2018-02-01 00:00:00,309748,eCW,0,92fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
305628,Specialty Pain Management Center,4,918db70304b39cc3,2016-12-20 00:00:00,,,CHANDLER,AZ,BUNDLED,,2018-02-01 00:00:00,308671,eCW,0,94fc7375-ed4f-e811-8127-e0071b6a7041,15.67
10881,Spectrum Family Medicine,5,bf662dc1cffdbc58,2015-09-28 00:00:00,,,Rockville,MD,RCM - IMO,,2018-02-01 00:00:00,307888,eCW,0,99fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
22065,OrthoSports Athens LLC,5,10679131095eff55,2015-01-30 00:00:00,,,Athens,AL,RCM - IMO,,2018-02-01 00:00:00,307661,eCW,0,a6fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
307550,Modern Pain Consultants,5,ba4035aef4814a34,2017-01-30 00:00:00,,,orland park,IL,BUNDLED,,2018-02-01 00:00:00,309046,eCW,0,97fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
2306,Suncoast Urology,5,942b140cec48f771,2017-02-17 00:00:00,,,Hudson,FL,IMO,,2018-02-01 00:00:00,309092,eCW,0,98fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
302463,Midwest Interventional Spine Specialists,5,f1366cb7c026a1bd,2015-11-12 00:00:00,,,Munster,IN,BUNDLED,,2018-02-01 00:00:00,308004,eCW,0,90fc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
309438,vac,5,9e553de31a534eb4,2017-10-30 00:00:00,,,harlingen,TX,BUNDLED,,2018-02-01 00:00:00,309722,eCW,0,aafc7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
4513,Westmed Family Healthcare,5,2083458eb7315501,2014-03-24 00:00:00,,,Westminster,CO,RCM - IMO,4.5 FTE,2018-02-01 00:00:00,307597,eCW,0,37fd7375-ed4f-e811-8127-e0071b6a7041,19.580000000000002
2206,"Greater Chicago Specialty Physicians, LLC",5,e77d9587e542f565,2017-08-08 00:00:00,,,Schaumburg,IL,BUNDLED,,2018-02-01 00:00:00,309255,eCW,0,b7dd86e3-ed4f-e811-8127-e0071b6a7041,19.580000000000002
307153,Neuroversion,5,1a72fa59fdc5cb55,2016-12-05 00:00:00,,,Anchorage,AK,BUNDLED,,2018-02-01 00:00:00,308792,eCW,0,dadd86e3-ed4f-e811-8127-e0071b6a7041,19.580000000000002
